Country Name,Country Code,Series Name,Series Code,2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014]
Afghanistan,AFG,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,30.62285367,25.39474053,30.20560247,27.09154001,24.50744042,24.60324707,23.89137214,23.46312554
Afghanistan,AFG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,13.74020499,3.611368392,21.02064874,8.433290482,6.113685169,14.43474129,1.959122899,1.312530908
Afghanistan,AFG,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,5.229755775,6.039428306,8.434997714,9.123651121,8.854568097,7.471638846,..,..
Kenya,KEN,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,23.26753427,24.92250549,26.14393823,27.83118698,29.2738701,29.08937253,29.4167609,30.27098789
Kenya,KEN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,6.850729771,0.232282746,3.306939815,8.402277064,6.11161346,4.554912438,5.687231313,5.328057786
Kenya,KEN,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,15.16190176,15.96360596,15.54523138,15.73334431,15.94768599,15.87837126,..,..
Georgia,GEO,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,10.69548306,9.387935635,9.372593774,8.381400499,9.281004165,8.590560771,9.406511518,9.203205585
Georgia,GEO,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,12.34399988,2.314047429,-3.775774557,6.253028626,7.199999063,6.182117328,3.319930795,4.766442435
Georgia,GEO,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,17.7153065,23.80935867,23.13855221,22.13912823,23.83340122,24.11828496,..,..
Pakistan,PAK,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,23.0582756,23.11412901,23.90812983,24.29211203,26.02468456,24.54909124,24.81767648,25.03359482
Pakistan,PAK,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.832817277,1.701405465,2.831658519,1.606691959,2.74840255,3.50703342,4.367249451,4.738354944
Pakistan,PAK,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,9.234737688,9.493557486,8.943092449,9.97542476,9.188676788,10.09935899,11.18716407,..
Senegal,SEN,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,13.77404186,15.93516949,17.27607722,17.68941275,15.65063513,16.72581231,15.61830382,15.83470087
Senegal,SEN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.938485083,3.682524403,2.423175917,4.179363062,1.761118049,4.363200853,3.622232012,4.720539611
Senegal,SEN,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,..,..,17.92361017,18.65259294,18.88593416,19.182225,..,..
